,agA_name,agB_name,agA_ns,agA_id,agB_ns,agB_id,residue,position,stmt_type,evidence_count,stmt_hash,belief,source_counts,initial_sign
182,NPM1,NCL,HGNC,7910,HGNC,7667,,,Inhibition,1,-27557487050815950,0.65,{'reach': 1},
112,UBTF,NCL,HGNC,12511,HGNC,7667,,,Complex,1,24195592703606614,0.65,{'sparser': 1},
114,NPM1,NCL,HGNC,7910,HGNC,7667,,,Complex,1,24195592703606614,0.65,{'sparser': 1},
113,UBTF,NPM1,HGNC,12511,HGNC,7910,,,Complex,1,24195592703606614,0.65,{'sparser': 1},
127,GST,HNRNPC,FPLX,GST,HGNC,5035,,,Complex,1,-19607360318324777,0.65,{'sparser': 1},
111,NCL,NPM1,HGNC,7667,HGNC,7910,,,Complex,1,24195592703606614,0.65,{'sparser': 1},
110,NCL,UBTF,HGNC,7667,HGNC,12511,,,Complex,1,24195592703606614,0.65,{'sparser': 1},
109,LRRC34,NCL,HGNC,28408,HGNC,7667,,,Complex,1,-19950395829169720,0.65,{'sparser': 1},
108,LRRC34,NPM1,HGNC,28408,HGNC,7910,,,Complex,1,-19950395829169720,0.65,{'sparser': 1},
107,NCL,LRRC34,HGNC,7667,HGNC,28408,,,Complex,1,-19950395829169720,0.65,{'sparser': 1},
106,NCL,NPM1,HGNC,7667,HGNC,7910,,,Complex,1,-19950395829169720,0.65,{'sparser': 1},
105,NPM1,LRRC34,HGNC,7910,HGNC,28408,,,Complex,1,-19950395829169720,0.65,{'sparser': 1},
104,NPM1,NCL,HGNC,7910,HGNC,7667,,,Complex,1,-19950395829169720,0.65,{'sparser': 1},
102,FBL,NCL,HGNC,3599,HGNC,7667,,,Complex,1,-16081387432948190,0.65,{'sparser': 1},
126,GST,NPM1,FPLX,GST,HGNC,7910,,,Complex,1,-19607360318324777,0.65,{'sparser': 1},
131,ENO1,NPM1,HGNC,3350,HGNC,7910,,,Complex,1,-19697742226124610,0.98,{'biogrid': 1},
128,NPM1,HSP90AA1,HGNC,7910,HGNC,5253,,,Complex,1,29245176793583816,0.98,{'biogrid': 1},
129,HSP90AA1,NPM1,HGNC,5253,HGNC,7910,,,Complex,1,29245176793583816,0.98,{'biogrid': 1},
151,HNRNPM,RBMX,HGNC,5046,HGNC,9910,,,Complex,1,3895784737019350,0.98,{'biogrid': 1},
150,RBMX,HNRNPM,HGNC,9910,HGNC,5046,,,Complex,1,3895784737019350,0.98,{'biogrid': 1},
149,RPL28,HNRNPU,HGNC,10330,HGNC,5048,,,Complex,1,-24384891834776879,0.98,{'biogrid': 1},
148,HNRNPU,RPL28,HGNC,5048,HGNC,10330,,,Complex,1,-24384891834776879,0.98,{'biogrid': 1},
147,HNRNPC,HNRNPU,HGNC,5035,HGNC,5048,,,Complex,1,-34625604821369740,0.98,{'biogrid': 1},
146,HNRNPU,HNRNPC,HGNC,5048,HGNC,5035,,,Complex,1,-34625604821369740,0.98,{'biogrid': 1},
100,NCL,FBL,HGNC,7667,HGNC,3599,,,Complex,1,-16081387432948190,0.65,{'sparser': 1},
166,HNRNPM,MYH10,HGNC,5046,HGNC,7568,,,Complex,1,-25323733497448255,0.98,{'biogrid': 1},
167,MYH10,HNRNPM,HGNC,7568,HGNC,5046,,,Complex,1,-25323733497448255,0.98,{'biogrid': 1},
168,HNRNPC,HNRNPM,HGNC,5035,HGNC,5046,,,Complex,1,7608959491232881,0.98,{'biogrid': 1},
169,HNRNPM,HNRNPC,HGNC,5046,HGNC,5035,,,Complex,1,7608959491232881,0.98,{'biogrid': 1},
137,HNRNPU,RBMX,HGNC,5048,HGNC,9910,,,Complex,1,684544812206228,0.65,{},
136,RBMX,HNRNPU,HGNC,9910,HGNC,5048,,,Complex,1,684544812206228,0.65,{},
170,HNRNPC,HNRNPM,HGNC,5035,HGNC,5046,,,Complex,1,23114862774231714,0.65,{'sparser': 1},
