source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts
7882	NOTCH2	DecreaseAmount	593	BIRC5	-2622224422672277	1	"{""reach"": 1}"
7882	NOTCH2	IncreaseAmount	593	BIRC5	27491664423450514	2	"{""medscan"": 1, ""reach"": 1}"
7882	NOTCH2	DecreaseAmount	593	BIRC5	-6846184995017616	2	"{""medscan"": 1, ""reach"": 1}"
7765	NF1	DecreaseAmount	593	BIRC5	-12441204372679347	1	"{""reach"": 1}"
583	APC	DecreaseAmount	593	BIRC5	-24446194229918658	1	"{""reach"": 1}"
583	APC	IncreaseAmount	593	BIRC5	27459504991604092	1	"{""reach"": 1}"
583	APC	IncreaseAmount	593	BIRC5	-17516828911835484	2	"{""reach"": 2}"
583	APC	DecreaseAmount	593	BIRC5	-10769644332432644	8	"{""reach"": 8}"
583	APC	DecreaseAmount	593	BIRC5	-24440896700205410	1	"{""reach"": 1}"
28611	RICTOR	IncreaseAmount	593	BIRC5	31784761913088513	2	"{""reach"": 2}"
16864	DLGAP5	IncreaseAmount	593	BIRC5	5423442222183079	1	"{""reach"": 1}"
1722	CDK1	DecreaseAmount	593	BIRC5	-17445606413225463	1	"{""reach"": 1}"
1722	CDK1	DecreaseAmount	593	BIRC5	16659417582636946	1	"{""reach"": 1}"
1722	CDK1	IncreaseAmount	593	BIRC5	27039992948804603	7	"{""medscan"": 1, ""reach"": 6}"
14064	HDAC6	DecreaseAmount	593	BIRC5	35668327119697443	1	"{""reach"": 1}"
14064	HDAC6	IncreaseAmount	593	BIRC5	9608006684025022	2	"{""reach"": 2}"
11393	AURKA	IncreaseAmount	593	BIRC5	-5745929769860099	7	"{""medscan"": 2, ""reach"": 5}"
1090	DST	IncreaseAmount	593	BIRC5	33192692300375526	1	"{""reach"": 1}"
1014	BCR	IncreaseAmount	593	BIRC5	-28182479409232157	1	"{""reach"": 1}"
1736	CDC42	DecreaseAmount	15607	ARHGEF7	11939808498747160	2	"{""reach"": 2}"
1736	CDC42	IncreaseAmount	15607	ARHGEF7	-3831678313442087	1	"{""bel"": 1}"
9077	PLK1	DecreaseAmount	1856	CENPE	-19410241765306489	1	"{""reach"": 1}"
8059	NUMA1	IncreaseAmount	1856	CENPE	-16067586840003391	1	"{""reach"": 1}"
1857	CENPF	DecreaseAmount	1856	CENPE	28153839765808807	1	"{""reach"": 1}"
12401	TTK	IncreaseAmount	1856	CENPE	-2202473702068074	1	"{""reach"": 1}"
1148	BUB1	DecreaseAmount	1856	CENPE	25874639960461570	1	"{""reach"": 1}"
76	ABL1	DecreaseAmount	971	BCAR1	16908388407769523	1	"{""bel"": 1}"
7733	NEDD9	DecreaseAmount	971	BCAR1	-14182080164516190	1	"{""medscan"": 1}"
16068	PCNT	DecreaseAmount	971	BCAR1	-26650614292039324	1	"{""reach"": 1}"
12691	EZR	DecreaseAmount	971	BCAR1	-6188324717402727	1	"{""medscan"": 1}"
994	BCL2L11	IncreaseAmount	28611	RICTOR	-24381913033002387	1	"{""reach"": 1}"
9077	PLK1	DecreaseAmount	25515	CEP192	-23491352824074840	1	"{""medscan"": 1}"
16068	PCNT	DecreaseAmount	25515	CEP192	-34959250040439559	1	"{""reach"": 1}"
11393	AURKA	DecreaseAmount	25515	CEP192	20980529843414265	1	"{""medscan"": 1}"
C545476		DecreaseAmount	9804	RACGAP1	-6640042985693865	1	"{""ctd"": 1}"
C545476		DecreaseAmount	9341	PRC1	6893619318582981	1	"{""ctd"": 1}"
C545476		DecreaseAmount	9077	PLK1	-15196566455019728	1	"{""ctd"": 1}"
C545476		DecreaseAmount	7745	NEK2	11484699563527391	1	"{""ctd"": 1}"
C545476		IncreaseAmount	7599	MYO1E	-4804570190197164	1	"{""ctd"": 1}"
C545476		DecreaseAmount	7212	KIF20B	-26132150859530275	1	"{""ctd"": 1}"
C545476		DecreaseAmount	6637	LMNB1	9957407863219072	1	"{""ctd"": 1}"
C545476		DecreaseAmount	6393	KIF2C	-17651279241687150	1	"{""ctd"": 1}"
C545476		DecreaseAmount	6392	KIF23	16784551099659788	1	"{""ctd"": 1}"
C545476		DecreaseAmount	6388	KIF11	-8363363813739340	1	"{""ctd"": 1}"
C545476		DecreaseAmount	593	BIRC5	28052561101289853	1	"{""ctd"": 1}"
C545476		DecreaseAmount	3155	ECT2	20407269849021179	1	"{""ctd"": 1}"
C545476		DecreaseAmount	25403	SASS6	23404283529525717	1	"{""ctd"": 1}"
C545476		DecreaseAmount	1857	CENPF	-16463175240622447	1	"{""ctd"": 1}"
C545476		DecreaseAmount	1856	CENPE	21304061716652424	1	"{""ctd"": 1}"
